"Recipient","PDF Path","IPFS CID","GitHub Issue","Date Sent"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_Top1000_4_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/72","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Licensing_Notice_CoreBitcoin_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/73","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_445001_495000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/74","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_195001_200000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/75","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_595001_645000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/76","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_185001_190000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/77","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_260001_265000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/78","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_41001_50000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/79","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_130001_135000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/80","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_655001_675000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/81","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_675001_695000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/82","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_170001_175000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/83","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_635001_655000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/84","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Generated_Notice_Template.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/85","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_615001_635000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/86","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_795001_845000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/87","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_90001_95000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/88","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_95001_100000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/89","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_60001_65000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/90","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_695001_715000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/91","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_23001_25000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/92","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_320001_335000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/93","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_775001_795000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/94","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_715001_735000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/95","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_735001_755000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/96","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Cover_Letter_Invoice_Batch_500k_20250709.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/97","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_395001_410000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/98","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_360001_375000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/99","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_755001_775000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/100","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_345001_360000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/101","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_1055001_1075000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/102","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_845001_945000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/103","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Licensing_Notice_BITCOIN_LEGAL_AUDIT_20250629_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/104","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_225001_230000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/105","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_495001_545000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/106","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_265001_270000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/107","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_Top1000_2_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/108","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_365001_380000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/109","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_180001_185000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/110","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_carboncointrust_CarboncoinCore_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/111","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_shellpay_shellcoin_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/112","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_vindaxcom_vindax-chain_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/113","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_virtacoinplus_virtacoinplus_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/114","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_team-exor_exor_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/115","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_Deviantcoin_Source_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/116","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_BitcoinAdult_Bitcoin-Adult-Source-Code-v.1.1.0.0---New-Code_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/117","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_AegeusCoin_aegeus_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/118","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_shogdite_letitride_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/119","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_insta-cash_instacash_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/120","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/wallet_cpp_notices/Licensing_Notice_bitcrystal_temp2_wallet_cpp.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/121","2025-07-10"
